ResponseId,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13
R_2j9CQBXGXNNuzPK,4,4,4,7,5,4,6,7,5,6,8,8,3
R_85ynJUGBEKkyGVb,6,6,6,5,6,4,6,5,4,5,6,7,4
R_3PodwOUP2vSsgnv,6,3,5,7,5,7,6,5,6,6,7,8,3
R_7WC5s3UbYjb6FoQ,6,2,1,7,6,1,6,6,6,3,7,7,6
R_85RZ7KzgNx48Ks3,6,6,6,3,6,4,6,5,5,4,3,6,7
R_20vDr1r7HHiVqNj,4,3,4,5,4,3,3,3,4,4,5,7,5
R_2MmTlNP5xc4RGg9,7,7,7,7,7,6,7,6,2,4,4,3,8
R_2fa65f8opk8WyHo,7,6,7,3,6,4,6,6,6,6,3,7,3
R_2GfjC3MVnEcoTeY,6,4,5,6,7,2,4,5,4,5,3,6,6
R_2EE5rJTSC8DESKw,4,3,5,3,6,5,4,6,1,6,4,3,3
R_2GPHintDgstJ7cB,5,1,6,5,2,2,2,1,7,5,8,8,6
R_8i9xYeUG6pgGUzV,6,6,5,8,7,7,7,6,7,2,3,3,7
R_8lsILlZZYFC4ihg,4,1,7,3,2,2,2,1,1,1,8,8,4
R_8gtFkXjmgJKhJZe,6,1,7,1,7,5,7,6,2,7,7,5,7
R_137hIGLXGFs3l60,1,1,3,7,1,2,4,3,2,1,8,8,4
R_6JJWJhHMGO0dgDx,4,4,6,3,6,1,3,4,6,5,4,4,6
R_1HTi09RS1k4sIfV,4,4,2,5,3,4,4,3,3,3,7,7,7
R_3KBzCrdG7Kixayl,4,5,3,6,3,4,6,3,4,5,4,5,7
R_6FrxVHjAPK79RaF,5,4,2,7,4,3,6,6,7,7,8,8,3
R_5PhwLs2FT6XpBvt,1,1,1,7,2,1,6,3,4,4,7,6,7
R_67m1CvToNb2BnHK,7,7,6,8,7,7,7,7,5,7,1,7,6
R_2msW0FZBeZ1QEFI,4,2,6,8,5,4,6,4,6,4,8,8,5
R_2DtGGi1TA31uEEr,7,7,4,5,4,7,4,4,6,7,5,8,7
R_25UT8oy5Eh47os1,4,4,4,5,4,4,6,5,2,2,6,7,4
R_4ESAEdazLY4ALeU,7,5,2,3,7,4,3,5,6,7,1,3,5
R_8MzkEYWgiXpb5Xu,7,6,7,8,7,7,7,7,6,7,1,1,5
R_8G4hOKuGYmvSuDD,6,5,6,1,7,3,6,2,4,7,1,3,8
R_8F9uw42o9nY8Uv6,7,7,6,1,7,7,7,7,5,7,1,3,7
R_7780m5Lksc3sPVN,7,7,7,3,5,2,4,3,5,4,6,3,7
R_2TATA4ahzZRCHGr,6,7,6,6,6,6,4,3,7,5,8,8,3
R_4gTPlhPjdHSVkZW,4,4,7,8,7,3,7,6,7,6,3,6,8
R_3nT0xtUA3KHN3DC,5,1,7,6,1,5,5,3,6,1,8,8,4
R_4WZ4Hi5VzsoECoG,7,4,6,5,7,4,6,4,6,6,3,3,4
R_3g6ISCahP3G9iD3,6,7,7,1,7,4,6,7,4,7,1,5,7
R_7hRUW8QWVPjWaBP,7,4,7,3,7,5,6,7,1,7,1,1,8
R_3irmCSSogJ61rCp,6,7,6,3,5,7,5,3,3,4,5,6,7
R_54GEo6oVUabMnax,4,3,3,5,7,4,2,2,1,5,5,6,5
R_7KyVQhuoz3xBsZj,6,3,5,1,4,2,4,4,5,2,7,4,7
R_3kwN7ySaA22SJ6V,7,6,1,7,5,4,1,5,5,5,5,8,4
R_1SeZht6ngAfNSq5,5,5,6,5,4,4,7,5,4,4,6,8,5
R_3nP0j7VurSQ30UR,4,5,5,5,4,4,6,5,3,4,4,7,5
R_1jcXe3APZpYeQZ4,7,4,7,6,7,7,7,7,7,7,1,1,8
R_5khumMPXFiXq2mN,7,1,2,8,2,1,6,3,6,6,8,8,5
R_2F5IyUssVznUTws,1,1,2,3,1,2,1,1,1,2,8,8,8
R_7X1jQMIKoHTbgPv,7,7,5,6,5,6,7,7,6,5,6,3,6
R_6kSo9g1dODtQ03c,1,1,2,7,6,1,1,7,4,4,5,3,4
R_8iVJ1ho3Z4k8ZAq,7,6,6,3,6,3,5,5,2,6,6,6,3
R_5jsnI41DJqrDNQZ,6,4,6,4,4,4,5,4,3,3,5,7,6
R_2CK01qMaYfcChaX,2,2,2,7,7,2,5,5,4,4,3,3,5
R_7osZ5aSJ6UotKKt,6,4,7,5,6,4,5,3,7,6,7,8,6
R_3QFXKZfW1HNB4U1,6,6,2,8,7,4,6,7,5,7,3,6,7
R_27vBMfv7MGk4616,7,5,7,7,6,6,6,5,5,6,6,6,5
R_7vVagAXmB8XUfh7,2,2,5,6,4,2,3,4,4,2,6,8,1
R_8YyoKugoMTn4M1z,7,1,2,8,7,4,4,4,7,7,8,8,1
R_1GxAvm8KltMMzxy,7,7,2,6,7,7,5,7,5,7,4,4,6
R_3QK9VzlbRCvGUNb,4,4,6,7,5,7,6,5,4,6,8,8,3
R_4NPATCn461mLqxu,4,3,4,6,5,2,4,2,5,4,4,4,3
R_8iXuu7H3nTSfYYJ,5,4,3,6,6,5,6,6,4,5,3,6,5
R_2wuG6IXMtnlbTvu,2,2,2,7,2,2,1,2,3,2,8,8,8
R_6jNtG02JTkb73U0,4,4,5,4,4,3,5,5,2,4,6,6,4
R_8gUQycXKMprZPFL,7,6,6,3,7,5,7,7,4,6,1,1,1
R_7LImanS7l4SfAir,5,4,6,5,4,2,4,3,3,1,7,7,4
R_3X0WlmQtw40DxaZ,6,5,7,5,3,3,3,2,2,4,5,7,6
R_9yY0qviKJyp5GiB,5,4,6,4,5,4,5,6,2,5,5,4,7
R_1RPKbY79g78GY8Z,7,4,4,5,7,7,7,7,7,7,5,8,5
R_1n0zaXyH6ohTTib,7,6,5,5,6,6,6,6,4,4,4,5,5
R_34CmpeXlVQoqBRT,6,5,7,7,7,7,1,1,7,6,1,8,1
R_18YCSXlA5fLl7jP,7,6,3,8,6,2,7,5,6,6,5,5,4
R_3vdL508QUg6aR8p,1,1,1,1,1,1,1,5,1,1,8,8,8
R_3PoESucOHvYAbBO,7,7,2,3,7,2,2,6,1,2,1,1,4
R_7fH4Uwtn6A5kYP0,1,1,1,8,1,1,1,1,4,1,8,8,3
R_1mO2vkLwu78FG8x,6,7,4,8,7,6,6,7,6,5,8,7,3
R_5kNOul3JzyJ4xyu,1,1,1,8,1,1,1,1,1,1,8,8,1
R_4c9LpjNyoJ9tcKR,5,2,2,7,3,3,5,1,5,6,4,8,8
R_6TwA8WyH84D4kNj,7,7,7,8,7,7,7,5,6,7,1,1,8
R_2atwkWhB5uThaiB,1,1,2,4,3,1,2,2,5,2,7,7,5
R_8ijU2gc80n03bLy,4,5,1,1,2,5,6,6,5,5,6,4,7
R_8gu5P1JNpANUF7k,5,6,6,5,4,7,7,7,4,6,1,6,6
R_7JW7F9vQUpTcT7j,4,4,4,8,1,4,2,2,4,1,8,8,5
R_5QF8eBnBf7KdwlV,6,6,6,1,7,5,6,7,5,6,7,7,4
R_5PdebkDfuiyxn1A,7,6,6,8,7,6,7,4,6,6,3,1,3
R_4BFbOLahtq76Epz,7,6,2,7,6,4,2,6,2,6,3,3,6
R_2kgruKDCPJryY7L,6,3,6,8,7,5,4,4,7,7,1,8,4
R_5IbIANEoFkvnH9f,6,5,6,4,5,2,5,6,5,3,7,7,3
R_3XgCnO2PFLRTrfb,1,1,1,1,1,1,1,7,1,1,5,5,5
R_7JBWyQIvPN5Mn5f,4,4,4,5,4,4,6,1,6,4,6,4,6
R_5VpIpoJ6NLtbqud,2,1,6,3,1,1,1,2,1,1,8,8,7
R_8IYwikfq6sqEm14,1,1,1,6,1,1,1,1,5,1,8,8,3
R_6FJ7nh5uyI7mRQw,2,1,1,8,1,2,1,1,1,1,4,5,8
R_50SegqSp1pViEwz,3,1,4,5,3,6,4,4,1,3,6,6,6
R_2h9kJ0GNGHOs3JU,2,2,6,3,6,1,4,4,1,4,7,8,8
R_3YbOzhhZlGGdgHL,6,6,6,8,1,4,6,6,7,7,8,5,4
R_5JIgR9BWV3XH0CB,4,4,2,4,5,2,4,4,5,4,6,7,6
R_6njcVlMg90NBySB,6,7,7,3,3,1,5,2,4,7,8,8,8
R_7WUNoxTOnO6U2yJ,7,7,7,1,7,4,7,7,4,4,1,1,5
R_3MaOrycpd4yC1P3,5,5,4,6,3,4,2,2,2,3,8,7,4
R_3jDQmBnrSWUklzz,3,1,7,1,7,4,6,4,4,4,5,5,5
R_60Iuga4Z6yL5CI8,2,2,3,6,2,3,2,2,5,2,7,8,3
R_3CO13leyO0zLD5W,1,1,5,1,5,1,2,5,1,4,6,7,7
R_9EbOzvpNpa2wilk,5,4,7,7,1,4,5,2,3,7,5,6,6
R_7QY9q8XilRLKstG,5,2,2,5,7,4,6,4,5,4,8,8,7
R_6dEk7tRbV3LaFX3,2,1,2,7,2,1,2,2,6,1,8,8,3
R_10qve2wOIYZYW4S,7,7,4,5,4,6,4,4,4,4,5,7,7
R_5Jz2BKaGz36Aacw,2,2,6,7,2,2,4,6,5,2,8,7,6
R_3YLBzV7SkT76JSk,4,1,7,5,7,4,7,7,4,5,4,3,1
R_71eIihtEmtR9l9D,2,2,2,4,3,2,2,3,3,6,7,8,7
R_8G5Hz6s4HL6zTeF,6,5,7,6,5,5,5,6,1,5,4,3,3
R_1LHegeibglA8OXo,7,7,7,7,7,7,7,7,4,7,1,1,6
R_1uEav9ajs52pZmh,1,1,1,4,2,1,2,3,2,4,7,6,7
R_6eK67Dwd9ht07GN,4,4,7,8,7,7,7,7,6,6,6,6,4
R_6VdM7bgsPWGt9Db,3,5,4,1,4,2,2,4,1,4,3,3,6
R_8LLtgLKhBNA4S3j,2,1,3,4,6,5,4,4,5,5,6,4,4
R_5P7FCo5BmthYc3n,7,6,7,5,4,1,6,1,1,5,3,5,6
R_7U4WLnLfxCUrrwt,7,1,4,1,5,4,4,4,5,1,8,6,3
R_3hrW82adgZcyfIX,2,2,4,7,2,4,6,6,5,2,7,7,5
R_3yq9w5UucqeYNt7,5,4,4,5,4,5,4,2,6,6,7,7,8
R_11HS9eONc56dsiZ,6,2,4,1,6,4,6,6,5,5,3,8,3
R_8yscByO1TQthNRh,4,1,1,8,4,4,4,4,4,4,8,4,7
R_8EMZWaYkigJCgSt,4,1,3,5,3,6,3,3,5,2,7,8,5
R_85SBT8r1IZR94am,1,1,5,1,1,1,1,6,1,1,1,7,3
R_8aKtbno2lglAgui,1,1,1,1,1,1,2,2,1,1,8,7,7
R_2JLumzHtoKQLAyC,7,7,7,1,7,7,7,7,6,6,8,8,5
R_2EX9dVtMIDX097K,6,6,7,7,6,7,4,5,6,3,8,8,5
R_1FUo0lxhNIRsf81,7,7,7,1,7,4,7,7,7,7,8,8,8
R_20p1bd3unHpzuKt,5,3,5,3,6,4,5,7,1,6,3,3,3
R_8AX1A9aMmrBx1xD,6,3,5,5,3,5,5,2,6,5,8,8,7
R_2CT7Frdh46f3Iur,5,2,5,4,6,3,4,4,2,4,5,6,5
R_2ynY01fw9XWR7LX,4,4,4,6,4,5,5,5,4,5,5,6,7
R_7PaZ45nY89wa57j,5,4,2,3,3,3,4,4,5,2,7,6,8
R_2fpGkicW4GZYeMQ,7,7,7,1,7,4,6,6,4,5,1,1,1
R_1DRU2225CUAvX8A,4,4,5,7,3,5,5,4,3,5,8,8,3
R_1y7yuYfwzbn3l1v,4,4,1,5,2,1,5,7,5,5,1,1,8
R_1o5wjhVupQdtVNN,2,1,1,3,1,1,2,2,1,2,7,8,3
R_1IWBI6TTDEUPshL,7,7,7,8,5,7,7,4,5,7,5,5,1
R_8d6Cl3a7UGAv2x3,7,7,5,7,7,6,7,7,5,7,1,3,1
R_3hlrZWsERytZQnM,5,5,7,3,6,4,7,7,2,2,4,1,6
R_2MSDgEjV0VOkQiQ,1,1,5,5,6,1,1,7,1,1,8,8,7
R_3EtAPIZuJZbdnA6,4,4,6,1,7,2,2,6,5,5,8,7,7
R_2riuyJmwhf7oXJw,1,1,1,8,1,1,3,3,2,1,6,7,4
R_8pXhj5kyayovIq4,7,4,6,1,7,7,6,7,6,6,7,7,4
R_8PdiFmTlm4Z4Iqw,4,3,5,5,5,4,5,3,2,6,6,6,5
R_833x9avNLhw0vJf,7,5,6,7,6,4,4,4,2,5,3,5,7
R_7JOAi7t8aKst5nL,5,7,7,6,6,6,5,3,6,1,7,3,7
R_1Mxw9B2tuqqHxdD,6,6,6,7,7,5,7,6,6,7,3,5,7
R_8JmP8A9h7cIabhn,1,1,1,7,1,1,2,1,6,1,7,7,7
R_1iOwDYtLXxkmu4Z,6,5,5,5,5,1,5,6,5,6,6,8,5
R_8lm0MOmwviVgjHU,7,7,7,1,7,7,7,5,1,5,8,1,1
R_6AWtFSrdggpxkaJ,7,7,7,3,6,7,7,6,3,7,6,3,8
R_8uHUPBl1SULNtat,2,2,5,4,6,2,2,6,5,6,7,4,6
R_6iDwrWlUCGwPHXy,2,2,5,7,2,5,1,1,1,2,7,7,8
R_5j6uJaMdEcrEJMS,7,7,4,4,6,4,7,4,2,2,6,7,6
R_5wHoX3ttRiUW43g,2,6,5,6,3,4,5,2,2,3,6,6,5
R_1PiLrtgqgAHgbYJ,1,1,1,8,1,4,7,7,5,7,8,8,8
R_6smIW7YFtWsOdCQ,2,1,2,1,4,1,4,5,1,4,8,8,3
R_2LbtsK668RvapeF,7,7,7,1,7,5,7,5,3,6,8,8,3
R_8pldxKnKDimPDys,6,6,6,7,5,5,4,4,4,4,5,5,5
R_7cTzDfiLPQ0wBC9,7,5,2,1,7,7,6,7,4,5,5,3,7
R_1levP6TzI6EFeP7,5,6,4,5,6,6,4,1,5,2,4,8,1
R_6QEuAAP3YqW0Th7,7,7,7,1,7,4,7,7,5,7,6,7,1
R_6rF4jrVpI9mVj9v,7,7,7,1,6,6,7,7,6,6,5,7,1
R_8Yms2EHNED6fUBP,7,6,4,1,7,4,4,4,1,6,4,1,8
