ResponseId,vision,sound,smell,taste,touch,bodily,emotional
R_8gu5P1JNpANUF7k,6.0,6.6,3.0,3.0,4.0,3.0,7.0
R_7JW7F9vQUpTcT7j,10.0,10.0,10.0,10.0,10.0,10.0,10.0
R_5QF8eBnBf7KdwlV,0.0,0.0,6.6,5.0,9.2,7.8,7.6
R_5PdebkDfuiyxn1A,7.0,7.0,6.8,6.2,8.0,7.0,7.4
R_4BFbOLahtq76Epz,5.0,3.0,4.0,6.0,8.0,8.6,10.0
R_2kgruKDCPJryY7L,4.0,3.6,2.6,3.6,5.8,3.6,3.0
R_5IbIANEoFkvnH9f,9.2,8.2,9.0,9.2,9.0,8.6,6.4
R_3XgCnO2PFLRTrfb,0.0,9.2,5.6,5.4,3.2,3.2,0.0
R_6CZbs9vPfVcWCkh,,,,,9.0,9.0,4.2
R_7JBWyQIvPN5Mn5f,9.0,10.0,4.8,7.6,9.0,7.8,8.2
R_5VpIpoJ6NLtbqud,7.4,7.2,6.4,8.0,7.0,7.2,6.8
R_8IYwikfq6sqEm14,7.8,6.2,5.0,6.8,5.6,4.8,4.8
R_6FJ7nh5uyI7mRQw,6.6,9.0,9.2,6.8,9.4,6.6,7.6
R_50SegqSp1pViEwz,9.0,9.0,9.0,9.0,9.0,9.0,9.4
R_2h9kJ0GNGHOs3JU,8.2,8.6,3.6,5.2,7.4,5.6,4.8
R_3YbOzhhZlGGdgHL,8.4,8.0,9.8,9.6,9.4,9.0,8.0
R_5JIgR9BWV3XH0CB,10.0,10.0,4.6,6.4,10.0,10.0,9.6
R_6njcVlMg90NBySB,8.6,8.4,10.0,10.0,7.4,5.4,9.0
R_7WUNoxTOnO6U2yJ,10.0,10.0,10.0,8.0,10.0,10.0,10.0
R_3MaOrycpd4yC1P3,8.8,8.6,7.6,8.0,8.4,8.2,8.2
R_3jDQmBnrSWUklzz,2.0,6.2,1.0,2.6,4.0,6.4,6.6
R_60Iuga4Z6yL5CI8,6.2,8.2,7.6,9.0,10.0,7.4,7.4
R_3CO13leyO0zLD5W,1.2,0.8,1.2,0.6,1.8,2.4,1.8
R_9EbOzvpNpa2wilk,8.4,8.0,4.8,4.4,9.2,7.8,6.4
R_7QY9q8XilRLKstG,5.2,2.8,2.4,2.2,5.0,5.0,4.0
R_6dEk7tRbV3LaFX3,10.0,10.0,8.0,9.4,10.0,9.6,7.8
R_10qve2wOIYZYW4S,4.0,3.0,2.8,3.2,5.0,4.2,3.2
R_5Jz2BKaGz36Aacw,9.0,9.0,7.2,5.8,6.2,5.4,7.2
R_3YLBzV7SkT76JSk,8.6,10.0,1.2,5.8,6.6,8.0,10.0
R_71eIihtEmtR9l9D,8.4,8.4,7.4,7.4,7.6,8.0,7.8
R_8G5Hz6s4HL6zTeF,7.8,8.0,6.2,8.8,8.8,8.6,9.4
R_1LHegeibglA8OXo,9.4,8.4,7.6,8.2,9.2,9.0,9.0
R_1uEav9ajs52pZmh,9.6,6.6,7.8,7.4,8.6,7.0,8.4
R_6eK67Dwd9ht07GN,2.8,10.0,0.0,0.0,0.0,3.2,6.6
R_6VdM7bgsPWGt9Db,8.0,7.6,7.8,6.4,7.8,7.4,7.2
R_8LLtgLKhBNA4S3j,6.8,5.4,2.2,5.8,5.6,5.6,6.0
R_5P7FCo5BmthYc3n,8.4,7.8,7.8,4.0,10.0,7.2,8.0
R_7U4WLnLfxCUrrwt,7.4,8.2,10.0,10.0,9.0,8.4,8.0
R_3hrW82adgZcyfIX,8.2,8.4,3.6,3.6,2.2,4.0,2.8
R_3yq9w5UucqeYNt7,9.6,10.0,10.0,10.0,10.0,10.0,10.0
R_11HS9eONc56dsiZ,5.8,4.4,2.4,2.0,2.2,2.4,4.0
R_8yscByO1TQthNRh,8.2,9.0,9.0,9.0,8.2,8.6,4.8
R_8EMZWaYkigJCgSt,6.8,4.6,2.2,4.4,6.6,4.4,5.0
R_85SBT8r1IZR94am,8.4,9.6,2.8,7.8,9.6,4.8,0.0
R_8aKtbno2lglAgui,0.2,1.6,2.2,2.2,2.6,2.2,3.0
R_2JLumzHtoKQLAyC,10.0,10.0,10.0,10.0,10.0,10.0,10.0
R_2EX9dVtMIDX097K,8.2,8.8,9.0,8.6,8.6,8.0,8.4
R_1FUo0lxhNIRsf81,9.0,10.0,9.6,9.0,10.0,10.0,9.8
R_20p1bd3unHpzuKt,9.8,9.0,8.6,8.8,9.8,6.6,7.0
R_8AX1A9aMmrBx1xD,9.8,8.2,9.0,6.8,9.0,8.6,7.8
R_2CT7Frdh46f3Iur,7.4,6.4,2.0,1.6,6.8,7.4,5.0
R_2ynY01fw9XWR7LX,8.0,6.0,5.4,7.0,9.0,7.8,7.0
R_7PaZ45nY89wa57j,7.8,7.4,5.2,6.8,7.6,7.0,8.8
R_2fpGkicW4GZYeMQ,7.2,5.2,6.6,5.2,7.8,5.8,6.0
R_1DRU2225CUAvX8A,8.8,7.6,4.6,8.2,5.6,6.2,6.6
R_1y7yuYfwzbn3l1v,3.3333333333333335,4.25,4.0,4.8,4.8,6.4,6.4
R_1o5wjhVupQdtVNN,10.0,9.6,4.2,7.0,8.0,5.6,7.4
R_1IWBI6TTDEUPshL,10.0,10.0,6.8,7.2,8.6,9.2,10.0
R_8d6Cl3a7UGAv2x3,3.0,4.8,3.0,3.0,4.0,5.0,6.0
R_3hlrZWsERytZQnM,8.6,8.0,3.4,2.4,6.2,3.8,8.4
R_2MSDgEjV0VOkQiQ,6.0,4.0,3.8,5.2,6.0,4.4,5.2
R_3EtAPIZuJZbdnA6,7.8,5.8,5.75,9.8,7.6,8.6,4.2
R_2riuyJmwhf7oXJw,7.4,9.4,8.4,7.6,9.0,8.4,9.2
R_8pXhj5kyayovIq4,6.8,5.2,6.0,6.8,6.0,6.8,7.6
R_8PdiFmTlm4Z4Iqw,6.8,6.0,5.6,6.4,7.0,6.8,6.0
R_833x9avNLhw0vJf,7.8,10.0,7.2,6.2,9.4,8.4,10.0
R_7JOAi7t8aKst5nL,6.2,5.6,2.0,0.4,6.2,5.6,10.0
R_1Mxw9B2tuqqHxdD,7.6,5.2,3.2,2.4,5.6,4.4,4.8
R_8JmP8A9h7cIabhn,9.6,9.8,9.4,10.0,9.4,9.4,9.2
R_1iOwDYtLXxkmu4Z,2.2,4.0,3.4,5.4,5.8,3.6,3.0
R_8lm0MOmwviVgjHU,10.0,10.0,10.0,9.6,10.0,10.0,10.0
R_6AWtFSrdggpxkaJ,8.0,8.6,8.2,9.8,8.6,7.6,7.6
R_8uHUPBl1SULNtat,7.8,9.8,9.2,9.6,9.6,,5.6
R_6iDwrWlUCGwPHXy,9.6,8.0,8.4,9.2,9.2,9.2,8.4
R_5j6uJaMdEcrEJMS,7.0,6.8,4.4,5.4,7.4,5.6,9.6
R_5wHoX3ttRiUW43g,5.0,7.2,5.2,5.4,6.8,6.0,6.4
R_1PiLrtgqgAHgbYJ,10.0,10.0,10.0,10.0,9.4,9.2,10.0
R_6smIW7YFtWsOdCQ,2.2,0.4,1.0,1.4,2.4,3.0,1.4
R_2LbtsK668RvapeF,6.6,6.2,1.0,5.0,6.8,8.4,7.0
R_8pldxKnKDimPDys,7.4,7.6,4.2,5.2,7.6,6.8,7.4
R_7cTzDfiLPQ0wBC9,8.0,8.0,8.0,8.0,7.6,8.0,8.0
R_1levP6TzI6EFeP7,8.2,9.2,8.4,9.2,9.6,9.75,10.0
R_6QEuAAP3YqW0Th7,7.0,5.4,7.2,5.2,8.6,8.6,8.2
R_6rF4jrVpI9mVj9v,7.2,7.6,6.4,5.2,7.8,8.2,8.2
R_8Yms2EHNED6fUBP,10.0,10.0,5.8,6.4,9.0,9.6,7.8
